"seqnames","start","end","width","strand","length","abs_summit","pileup","X.log10.pvalue.","fold_enrichment","X.log10.qvalue.","name","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",58393281,58393583,303,"*",303,58393569,49,80.2504,33.5922,74.914,"RARG_Treated_vs_Input_peak_11","Promoter (<=1kb)",1,58393470,58405131,11662,1,"66882","ENSMUST00000186949.1",0,"ENSMUSG00000051223","Bzw1","basic leucine zipper and W2 domains 1"
"chr1",63113513,63113750,238,"*",238,63113516,14,13.5198,8.10754,9.57935,"RARG_Treated_vs_Input_peak_12","Promoter (<=1kb)",1,63062164,63114255,52092,2,"227195","ENSMUST00000153992.1",505,"ENSMUSG00000040865","Ino80d","INO80 complex subunit D"
"chr1",63273408,63273712,305,"*",305,63273424,22,21.632,10.7804,17.325,"RARG_Treated_vs_Input_peak_13","Promoter (<=1kb)",1,63273269,63295022,21754,1,"73884","ENSMUST00000126932.1",139,"ENSMUSG00000027520","Zdbf2","zinc finger, DBF-type containing 2"
"chr1",69687356,69687618,263,"*",263,69687358,30,35.8862,16.4186,31.0316,"RARG_Treated_vs_Input_peak_14","Promoter (<=1kb)",1,69538582,69687245,148664,2,"22779","ENSMUST00000187184.6",-111,"ENSMUSG00000025997","Ikzf2","IKAROS family zinc finger 2"
"chr1",74882157,74882372,216,"*",216,74882353,16,12.9789,7.2894,9.0577,"RARG_Treated_vs_Input_peak_15","Promoter (2-3kb)",1,74882407,74884608,2202,2,"260298","ENSMUST00000162938.1",2236,"ENSMUSG00000055197","Fev","FEV transcription factor, ETS family member"
"chr1",74951232,74951512,281,"*",281,74951499,28,27.9816,12.487,23.414,"RARG_Treated_vs_Input_peak_16","Promoter (<=1kb)",1,74947724,74951442,3719,2,"16147","ENSMUST00000189364.1",0,"ENSMUSG00000006538","Ihh","Indian hedgehog"
"chr1",87878616,87878954,339,"*",339,87878706,6,6.04971,4.69425,2.4084,"RARG_Treated_vs_Input_peak_17","Promoter (1-2kb)",1,87880435,87915744,35310,1,"227333","ENSMUST00000190243.1",-1481,"ENSMUSG00000070738","Dgkd","diacylglycerol kinase, delta"
"chr1",89454542,89454835,294,"*",294,89454626,41,53.6927,22.2468,48.5572,"RARG_Treated_vs_Input_peak_18","Promoter (<=1kb)",1,89454806,89897617,442812,1,"347722","ENSMUST00000027521.14",0,"ENSMUSG00000055013","Agap1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
"chr1",91801608,91801887,280,"*",280,91801617,24,21.9984,10.3439,17.6863,"RARG_Treated_vs_Input_peak_19","Promoter (<=1kb)",1,91801461,91848028,46568,1,"13345","ENSMUST00000007949.3",147,"ENSMUSG00000007805","Twist2","twist basic helix-loop-helix transcription factor 2"
"chr1",92831474,92831691,218,"*",218,92831677,14,10.4218,6.20634,6.60497,"RARG_Treated_vs_Input_peak_20","Promoter (<=1kb)",1,92831645,92860779,29135,1,"14733","ENSMUST00000045970.7",0,"ENSMUSG00000034220","Gpc1","glypican 1"
"chr1",97660964,97661359,396,"*",396,97660973,21,24.0411,12.5308,19.6308,"RARG_Treated_vs_Input_peak_21","Promoter (<=1kb)",1,97643903,97661676,17774,2,"52392","ENSMUST00000153115.7",317,"ENSMUSG00000044768","Macir","macrophage immunometabolism regulator"
"chr1",105221280,105221544,265,"*",265,105221356,6,5.64317,4.46784,2.01952,"RARG_Treated_vs_Input_peak_22","Distal Intergenic",1,105356007,105361630,5624,1,"100504568","ENSMUST00000181383.2",-134463,"ENSMUSG00000097482","Gm17634","predicted gene, 17634"
"chr1",106137701,106137941,241,"*",241,106137876,6,6.06571,4.7029,2.4084,"RARG_Treated_vs_Input_peak_23","Distal Intergenic",1,106152625,106171524,18900,2,"626049","ENSMUST00000190105.1",33583,"ENSMUSG00000101583","Gm20753","predicted gene, 20753"
"chr1",106172064,106172380,317,"*",317,106172286,27,31.2994,14.8297,26.6006,"RARG_Treated_vs_Input_peak_24","Promoter (<=1kb)",1,106171752,106394250,222499,1,"98432","ENSMUST00000061047.6",312,"ENSMUSG00000044340","Phlpp1","PH domain and leucine rich repeat protein phosphatase 1"
"chr1",114562466,114562822,357,"*",357,114562722,7,6.11848,4.70866,2.46076,"RARG_Treated_vs_Input_peak_25","Distal Intergenic",1,115684756,116587323,902568,1,"636808","ENSMUST00000043725.8",-1121934,"ENSMUSG00000070695","Cntnap5a","contactin associated protein-like 5A"
"chr1",115481162,115481413,252,"*",252,115481366,7,5.3589,4.23706,1.74739,"RARG_Treated_vs_Input_peak_26","Distal Intergenic",1,115684756,116587323,902568,1,"636808","ENSMUST00000043725.8",-203343,"ENSMUSG00000070695","Cntnap5a","contactin associated protein-like 5A"
"chr1",116431332,116431564,233,"*",233,116431337,17,21.6085,12.0932,17.3027,"RARG_Treated_vs_Input_peak_27","Intron (ENSMUST00000043725.8/636808, intron 16 of 23)",1,115684756,116587323,902568,1,"636808","ENSMUST00000043725.8",746576,"ENSMUSG00000070695","Cntnap5a","contactin associated protein-like 5A"
"chr1",119246453,119246677,225,"*",225,119246624,6,5.64317,4.46784,2.01952,"RARG_Treated_vs_Input_peak_28","Distal Intergenic",1,119415465,119422248,6784,2,"16324","ENSMUST00000038765.5",175571,"ENSMUSG00000037035","Inhbb","inhibin beta-B"
"chr1",136625020,136625608,589,"*",589,136625375,28,34.792,16.5179,29.9796,"RARG_Treated_vs_Input_peak_29","Promoter (<=1kb)",1,136624901,136630053,5153,1,"226442","ENSMUST00000112046.1",119,"ENSMUSG00000041483","Zfp281","zinc finger protein 281"
"chr1",140711413,140711660,248,"*",248,140711531,6,5.21012,4.21379,1.60758,"RARG_Treated_vs_Input_peak_30","Distal Intergenic",1,140570176,140656404,86229,2,"75910","ENSMUST00000193820.1",-55009,"ENSMUSG00000102368","4930590L20Rik","RIKEN cDNA 4930590L20 gene"
"chr1",149848384,149848606,223,"*",223,149848558,5,4.90546,4.03106,1.31395,"RARG_Treated_vs_Input_peak_31","Intron (ENSMUST00000070200.14/18783, intron 15 of 17)",1,149886184,149902199,16016,2,"18783","ENSMUST00000155438.1",53593,"ENSMUSG00000056220","Pla2g4a","phospholipase A2, group IVA (cytosolic, calcium-dependent)"
"chr1",153052896,153053250,355,"*",355,153053057,22,24.3879,12.4316,19.97,"RARG_Treated_vs_Input_peak_32","Intron (ENSMUST00000186368.6/226518, intron 1 of 11)",1,153033374,153074252,40879,1,"226518","ENSMUST00000187569.1",19522,"ENSMUSG00000042751","Nmnat2","nicotinamide nucleotide adenylyltransferase 2"
"chr1",163810785,163811076,292,"*",292,163810895,7,5.3589,4.23706,1.74739,"RARG_Treated_vs_Input_peak_33","Intron (ENSMUST00000027877.6/16579, intron 5 of 19)",1,163779583,163917109,137527,1,"16579","ENSMUST00000077642.11",31202,"ENSMUSG00000026585","Kifap3","kinesin-associated protein 3"
"chr1",164415932,164416220,289,"*",289,164415961,5,4.54684,3.82958,1.05778,"RARG_Treated_vs_Input_peak_34","Intron (ENSMUST00000193808.5/171567, intron 14 of 15)",1,164441459,164443719,2261,2,"11931","ENSMUST00000193980.1",27499,"ENSMUSG00000026576","Atp1b1","ATPase, Na+/K+ transporting, beta 1 polypeptide"
"chr1",168568381,168568608,228,"*",228,168568399,6,6.06571,4.7029,2.4084,"RARG_Treated_vs_Input_peak_35","Distal Intergenic",1,168490643,168490762,120,1,"102465178","ENSMUST00000183804.1",77738,"ENSMUSG00000098407","Mir6348","microRNA 6348"
"chr1",171190024,171190431,408,"*",408,171190084,6,6.06571,4.7029,2.4084,"RARG_Treated_vs_Input_peak_36","Intron (ENSMUST00000111332.1/66425, intron 1 of 2)",1,171173262,171196268,23007,2,"66425","ENSMUST00000111332.1",5837,"ENSMUSG00000038370","Pcp4l1","Purkinje cell protein 4-like 1"
"chr1",174762470,174762759,290,"*",290,174762740,7,4.11929,3.43031,0.68343,"RARG_Treated_vs_Input_peak_37","Intron (ENSMUST00000030039.12/54418, intron 15 of 17)",1,174714326,174821271,106946,1,"54418","ENSMUST00000193905.1",48144,"ENSMUSG00000028354","Fmn2","formin 2"
"chr1",177442350,177442624,275,"*",275,177442614,18,23.1991,12.765,18.8222,"RARG_Treated_vs_Input_peak_38","Promoter (<=1kb)",1,177442351,177447237,4887,1,"30928","ENSMUST00000195002.1",0,"ENSMUSG00000063659","Zbtb18","zinc finger and BTB domain containing 18"
"chr1",184956615,184956875,261,"*",261,184956875,28,32.8138,15.3593,28.0599,"RARG_Treated_vs_Input_peak_39","Intron (ENSMUST00000027929.9/226778, intron 1 of 17)",1,184919517,184999475,79959,2,"226778","ENSMUST00000192657.1",42600,"ENSMUSG00000026620","Mark1","MAP/microtubule affinity regulating kinase 1"
"chr1",187975160,187975421,262,"*",262,187975366,6,4.3985,3.70743,0.931353,"RARG_Treated_vs_Input_peak_40","Intron (ENSMUST00000127489.7/26381, intron 3 of 3)",1,187997827,188214885,217059,1,"26381","ENSMUST00000027906.12",-22406,"ENSMUSG00000026610","Esrrg","estrogen-related receptor gamma"
"chr1",191396579,191396854,276,"*",276,191396582,20,21.1585,11.1223,16.8844,"RARG_Treated_vs_Input_peak_41","Promoter (<=1kb)",1,191351975,191397041,45067,2,"226849","ENSMUST00000067976.8",187,"ENSMUSG00000026626","Ppp2r5a","protein phosphatase 2, regulatory subunit B', alpha"
"chr1",191907309,191907534,226,"*",226,191907524,18,11.4169,5.90016,7.55568,"RARG_Treated_vs_Input_peak_42","Promoter (<=1kb)",1,191894072,191907519,13448,2,"98736","ENSMUST00000139827.7",0,"ENSMUSG00000055833","1700034H15Rik","RIKEN cDNA 1700034H15 gene"
"chr10",3251175,3251395,221,"*",221,3251261,6,5.46121,4.36263,1.84724,"RARG_Treated_vs_Input_peak_43","Distal Intergenic",10,3257930,3267750,9821,2,"670558","ENSMUST00000216211.1",16355,"ENSMUSG00000091618","H60c","histocompatibility 60c"
"chr10",6019070,6019338,269,"*",269,6019112,6,6.06571,4.7029,2.4084,"RARG_Treated_vs_Input_peak_44","Distal Intergenic",10,5825663,5922400,96738,2,"56533","ENSMUST00000064225.13",-96670,"ENSMUSG00000019775","Rgs17","regulator of G-protein signaling 17"
"chr10",22738492,22738805,314,"*",314,22738542,68,90.2093,29.5864,84.8028,"RARG_Treated_vs_Input_peak_45","Distal Intergenic",10,22705381,22731938,26558,2,"237336","ENSMUST00000095794.3",-6554,"ENSMUSG00000071359","Tbpl1","TATA box binding protein-like 1"
"chr10",26374061,26374284,224,"*",224,26374066,21,18.8633,9.43334,14.689,"RARG_Treated_vs_Input_peak_46","Promoter (<=1kb)",10,26274471,26373956,99486,2,"237339","ENSMUST00000040219.12",-105,"ENSMUSG00000039089","L3mbtl3","L3MBTL3 histone methyl-lysine binding protein"
"chr10",38268932,38269153,222,"*",222,38268935,6,6.06571,4.7029,2.4084,"RARG_Treated_vs_Input_peak_47","Distal Intergenic",10,38175780,38181903,6124,1,"75877","ENSMUST00000215643.1",93152,"ENSMUSG00000111234","4930591E09Rik","RIKEN cDNA 4930591E09 gene"
"chr10",40884236,40884449,214,"*",214,40884247,13,9.73506,6.00304,5.94116,"RARG_Treated_vs_Input_peak_48","Promoter (<=1kb)",10,40883827,40938570,54744,1,"83767","ENSMUST00000105509.1",409,"ENSMUSG00000019831","Wasf1","WASP family, member 1"
"chr10",41440817,41441130,314,"*",314,41440988,28,27.8933,12.4349,23.3268,"RARG_Treated_vs_Input_peak_49","Distal Intergenic",10,41450383,41465574,15192,1,"268294","ENSMUST00000080771.9",-9253,"ENSMUSG00000019826","Zbtb24","zinc finger and BTB domain containing 24"
"chr10",43174339,43174569,231,"*",231,43174371,17,20.4783,11.4887,16.2329,"RARG_Treated_vs_Input_peak_50","Promoter (<=1kb)",10,43002500,43174530,172031,2,"109205","ENSMUST00000040275.8",0,"ENSMUSG00000038248","Sobp","sine oculis binding protein"
"chr10",46214699,46214961,263,"*",263,46214721,5,4.90546,4.03106,1.31395,"RARG_Treated_vs_Input_peak_51","Distal Intergenic",10,45837880,45852283,14404,1,"320363","ENSMUST00000215085.1",376819,"ENSMUSG00000110874","D030045P18Rik","RIKEN cDNA D030045P18 gene"
"chr10",46321478,46321691,214,"*",214,46321513,8,8.55093,6.04659,4.79429,"RARG_Treated_vs_Input_peak_52","Intron (ENSMUST00000217441.1/ENSMUST00000217441.1, intron 3 of 3)",10,45837880,45852283,14404,1,"320363","ENSMUST00000215085.1",483598,"ENSMUSG00000110874","D030045P18Rik","RIKEN cDNA D030045P18 gene"
"chr10",51874905,51875245,341,"*",341,51875178,7,7.28305,5.37475,3.57547,"RARG_Treated_vs_Input_peak_53","Intron (ENSMUST00000218243.1/ENSMUST00000218243.1, intron 2 of 2)",10,51756174,51757194,1021,2,"71090","ENSMUST00000219766.1",-117711,"ENSMUSG00000062224","4933411G06Rik","Sumo1 pseudogene"
"chr10",56663843,56664078,236,"*",236,56663890,5,4.90546,4.03106,1.31395,"RARG_Treated_vs_Input_peak_54","Distal Intergenic",10,56431981,56475967,43987,1,"102640560","ENSMUST00000218830.1",231862,"ENSMUSG00000112833","Gm36595","predicted gene, 36595"
"chr10",70194846,70195260,415,"*",415,70195230,35,52.9796,24.1864,47.85,"RARG_Treated_vs_Input_peak_55","Distal Intergenic",10,70204664,70215285,10622,1,"69563","ENSMUST00000188568.1",-9404,"ENSMUSG00000019933","Mrln","myoregulin"
"chr10",81544455,81544698,244,"*",244,81544471,8,7.87934,5.67592,4.15326,"RARG_Treated_vs_Input_peak_56","Promoter (<=1kb)",10,81528724,81545190,16467,2,"14672","ENSMUST00000043604.5",492,"ENSMUSG00000034781","Gna11","guanine nucleotide binding protein, alpha 11"
"chr10",83337405,83337626,222,"*",222,83337580,23,13.2646,5.84175,9.32921,"RARG_Treated_vs_Input_peak_57","Promoter (<=1kb)",10,83316342,83337440,21099,2,"338365","ENSMUST00000126617.1",0,"ENSMUSG00000034591","Slc41a2","solute carrier family 41, member 2"
"chr10",84052082,84052293,212,"*",212,84052099,12,7.76524,4.98887,4.0418,"RARG_Treated_vs_Input_peak_58","Intron (ENSMUST00000216477.1/102637349, intron 3 of 4)",10,84036560,84100697,64138,2,"102637349","ENSMUST00000216477.1",48404,"ENSMUSG00000111049","Gm34184","predicted gene, 34184"
"chr10",89745029,89745432,404,"*",404,89745422,18,15.8964,8.52796,11.8553,"RARG_Treated_vs_Input_peak_59","Promoter (<=1kb)",10,89745117,89782260,37144,1,"75089","ENSMUST00000219712.1",0,"ENSMUSG00000019951","Bltp3b","bridge-like lipid transfer protein family member 3B"
"chr10",110745186,110745423,238,"*",238,110745339,16,14.09,7.9681,10.1279,"RARG_Treated_vs_Input_peak_60","Promoter (<=1kb)",10,110745439,110748146,2708,1,"52679","ENSMUST00000173294.7",-16,"ENSMUSG00000020185","E2f7","E2F transcription factor 7"
"chr10",116473420,116473854,435,"*",435,116473616,23,21.3582,10.2909,17.0789,"RARG_Treated_vs_Input_peak_61","Promoter (<=1kb)",10,116436193,116473435,37243,2,"58802","ENSMUST00000164271.1",0,"ENSMUSG00000054934","Kcnmb4","potassium large conductance calcium-activated channel, subfamily M, beta member 4"
"chr10",121557103,121557389,287,"*",287,121557355,6,4.3985,3.70743,0.931353,"RARG_Treated_vs_Input_peak_62","Promoter (2-3kb)",10,121551260,121554163,2904,2,"56480","ENSMUST00000220386.1",-2940,"ENSMUSG00000020115","Tbk1","TANK-binding kinase 1"
"chr10",125092277,125092623,347,"*",347,125092473,8,8.55093,6.04659,4.79429,"RARG_Treated_vs_Input_peak_63","Distal Intergenic",10,125227487,125308816,81330,2,"20503","ENSMUST00000105257.3",216193,"ENSMUSG00000020102","Slc16a7","solute carrier family 16 (monocarboxylic acid transporters), member 7"
"chr11",3307646,3309083,1438,"*",1438,3308035,202,444.702,136.133,438.413,"RARG_Treated_vs_Input_peak_64","Promoter (<=1kb)",11,3308996,3320722,11727,1,"100302648","ENSMUST00000152576.1",0,"ENSMUSG00000084941","Gm11944","predicted gene 11944"
"chr11",6475341,6475860,520,"*",520,6475616,25,34.9007,17.4679,30.068,"RARG_Treated_vs_Input_peak_65","Promoter (<=1kb)",11,6467599,6475917,8319,2,"19291","ENSMUST00000179343.2",57,"ENSMUSG00000094483","Purb","purine rich element binding protein B"
"chr11",6637896,6638209,314,"*",314,6638030,15,13.4784,7.8468,9.53963,"RARG_Treated_vs_Input_peak_66","Promoter (<=1kb)",11,6635482,6638637,3156,2,"22373","ENSMUST00000102910.3",428,"ENSMUSG00000000381","Wap","whey acidic protein"
"chr11",17466263,17466490,228,"*",228,17466365,38,56.1672,24.8922,51.0082,"RARG_Treated_vs_Input_peak_67","Distal Intergenic",11,17263621,17266560,2940,1,"57316","ENSMUST00000130330.1",202642,"ENSMUSG00000000581","C1d","C1D nuclear receptor co-repressor"
"chr11",19532843,19533071,229,"*",229,19533034,7,6.29708,4.81576,2.63457,"RARG_Treated_vs_Input_peak_68","Distal Intergenic",11,19924375,20024026,99652,1,"114716","ENSMUST00000093299.12",-391304,"ENSMUSG00000045671","Spred2","sprouty-related EVH1 domain containing 2"
"chr11",29022187,29022441,255,"*",255,29022213,6,4.3985,3.70743,0.931353,"RARG_Treated_vs_Input_peak_69","Distal Intergenic",11,28915667,28926743,11077,1,"216616","ENSMUST00000139713.1",106520,"ENSMUSG00000020467","Efemp1","epidermal growth factor-containing fibulin-like extracellular matrix protein 1"
"chr11",45818448,45818662,215,"*",215,45818552,7,5.9094,4.58131,2.27574,"RARG_Treated_vs_Input_peak_70","Intron (ENSMUST00000137002.1/100009664, intron 1 of 3)",11,45808087,45841171,33085,1,"100009664","ENSMUST00000137002.1",10361,NA,"F630206G17Rik","RIKEN cDNA F630206G17 gene"
"chr11",46769381,46769630,250,"*",250,46769470,6,5.46121,4.36263,1.84724,"RARG_Treated_vs_Input_peak_71","Intron (ENSMUST00000081819.10/171283, intron 4 of 7)",11,46751168,46779578,28411,1,"171283","ENSMUST00000047568.4",18213,"ENSMUSG00000040405","Havcr1","hepatitis A virus cellular receptor 1"
"chr11",49062958,49063261,304,"*",304,49063193,5,4.90546,4.03106,1.31395,"RARG_Treated_vs_Input_peak_72","Promoter (<=1kb)",11,49057194,49064204,7011,2,"100039796","ENSMUST00000046745.6",943,"ENSMUSG00000078921","Tgtp2","T cell specific GTPase 2"
"chr11",52282916,52283147,232,"*",232,52282919,27,29.4538,13.7319,24.8227,"RARG_Treated_vs_Input_peak_73","Promoter (<=1kb)",11,52253236,52283331,30096,2,"21414","ENSMUST00000109071.2",184,"ENSMUSG00000000782","Tcf7","transcription factor 7, T cell specific"
"chr11",54240730,54240942,213,"*",213,54240927,17,18.9956,10.6537,14.8163,"RARG_Treated_vs_Input_peak_74","Distal Intergenic",11,54247271,54249667,2397,2,"12981","ENSMUST00000019060.5",8725,"ENSMUSG00000018916","Csf2","colony stimulating factor 2 (granulocyte-macrophage)"
"chr11",60581483,60581796,314,"*",314,60581721,74,91.4438,27.0153,86.0248,"RARG_Treated_vs_Input_peak_75","Distal Intergenic",11,60537978,60558512,20535,1,"268420","ENSMUST00000044250.3",43505,"ENSMUSG00000042650","Alkbh5","alkB homolog 5, RNA demethylase"
"chr11",63885164,63885476,313,"*",313,63885239,5,4.67006,3.90012,1.17359,"RARG_Treated_vs_Input_peak_76","Distal Intergenic",11,63885792,63922290,36499,2,"54710","ENSMUST00000094103.3",36814,"ENSMUSG00000070407","Hs3st3b1","heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1"
"chr11",65394673,65394928,256,"*",256,65394793,6,4.3985,3.70743,0.931353,"RARG_Treated_vs_Input_peak_77","Distal Intergenic",11,65285936,65365798,79863,2,"327946","ENSMUST00000130362.1",-28875,"ENSMUSG00000085162","Gm12295","predicted gene 12295"
"chr11",69368907,69369155,249,"*",249,69369143,14,15.5438,9.29378,11.5163,"RARG_Treated_vs_Input_peak_78","Promoter (<=1kb)",11,69344351,69369391,25041,2,"216848","ENSMUST00000092971.12",236,"ENSMUSG00000018474","Chd3","chromodomain helicase DNA binding protein 3"
"chr11",74430524,74430799,276,"*",276,74430630,19,24.4443,13.2444,20.0243,"RARG_Treated_vs_Input_peak_79","Intron (ENSMUST00000102521.8/380711, intron 8 of 24)",11,74383484,74408025,24542,2,"380711","ENSMUST00000123440.1",-22499,"ENSMUSG00000038807","Rap1gap2","RAP1 GTPase activating protein 2"
"chr11",74638206,74638420,215,"*",215,74638409,22,20.1016,9.86213,15.8681,"RARG_Treated_vs_Input_peak_80","Exon (ENSMUST00000100866.2/432582, exon 4 of 4)",11,74649495,74656551,7057,1,"74148","ENSMUST00000130398.1",-11075,"ENSMUSG00000020741","Cluh","clustered mitochondria homolog"
"chr11",76398967,76399198,232,"*",232,76398976,22,17.4123,8.28469,13.3076,"RARG_Treated_vs_Input_peak_81","Promoter (<=1kb)",11,76257198,76399140,141943,2,"18230","ENSMUST00000021204.3",0,"ENSMUSG00000020844","Nxn","nucleoredoxin"
"chr11",76553022,76553335,314,"*",314,76553096,86,137.189,46.078,131.504,"RARG_Treated_vs_Input_peak_82","Intron (ENSMUST00000072740.12/109934, intron 1 of 22)",11,76416734,76571535,154802,2,"109934","ENSMUST00000072740.12",18200,"ENSMUSG00000017631","Abr","active BCR-related gene"
"chr11",84547221,84547515,295,"*",295,84547315,7,5.82976,4.53228,2.20313,"RARG_Treated_vs_Input_peak_83","Distal Intergenic",11,84525684,84535830,10147,1,"78365","ENSMUST00000128121.1",21537,"ENSMUSG00000087211","Lhx1os","LIM homeobox 1, opposite strand"
"chr11",86886528,86886841,314,"*",314,86886624,77,108.624,35.0095,103.073,"RARG_Treated_vs_Input_peak_84","Distal Intergenic",11,86768846,86807746,38901,2,"67487","ENSMUST00000018569.13",-78782,"ENSMUSG00000018425","Dhx40","DEAH-box helicase 40"
"chr11",88969030,88969266,237,"*",237,88969090,13,5.74846,3.65176,2.12334,"RARG_Treated_vs_Input_peak_85","Promoter (<=1kb)",11,88970252,88991613,21362,1,"12812","ENSMUST00000107898.7",-986,"ENSMUSG00000033983","Coil","coilin"
"chr11",97500239,97500465,227,"*",227,97500253,11,9.35508,6.17097,5.57801,"RARG_Treated_vs_Input_peak_86","Promoter (<=1kb)",11,97490783,97500340,9558,2,"100141474","ENSMUST00000056955.1",0,NA,"4933428G20Rik","RIKEN cDNA 4933428G20 gene"
"chr11",99041289,99041540,252,"*",252,99041523,35,40.09,16.8736,35.1432,"RARG_Treated_vs_Input_peak_87","Promoter (<=1kb)",11,99041244,99054392,13149,1,"16010","ENSMUST00000017637.12",45,"ENSMUSG00000017493","Igfbp4","insulin-like growth factor binding protein 4"
"chr11",99785382,99785743,362,"*",362,99785734,8,8.55093,6.04659,4.79429,"RARG_Treated_vs_Input_peak_88","Promoter (<=1kb)",11,99785200,99786258,1059,1,"665998","ENSMUST00000105059.3",182,"ENSMUSG00000078262","Krtap4-9","keratin associated protein 4-9"
"chr11",100414154,100414631,478,"*",478,100414615,23,27.0276,13.67,22.4804,"RARG_Treated_vs_Input_peak_89","Promoter (<=1kb)",11,100408456,100414836,6381,2,"66180","ENSMUST00000066489.12",205,"ENSMUSG00000006931","P3h4","prolyl 3-hydroxylase family member 4 (non-enzymatic)"
"chr11",101948844,101949080,237,"*",237,101948854,18,21.8718,12.0543,17.5619,"RARG_Treated_vs_Input_peak_90","Distal Intergenic",11,101952421,101960573,8153,1,"73887","ENSMUST00000123249.1",-3341,"ENSMUSG00000071818","4930417O22Rik","RIKEN cDNA 4930417O22 gene"
"chr11",103087876,103088189,314,"*",314,103087965,78,113.138,37.0282,107.561,"RARG_Treated_vs_Input_peak_91","Intron (ENSMUST00000103077.1/72469, intron 1 of 14)",11,103070304,103078294,7991,2,"72469","ENSMUST00000128650.7",-9582,"ENSMUSG00000020937","Plcd3","phospholipase C, delta 3"
"chr11",103955907,103956170,264,"*",264,103955920,5,4.75617,3.94861,1.25371,"RARG_Treated_vs_Input_peak_92","Promoter (1-2kb)",11,103821782,103954056,132275,2,"18195","ENSMUST00000103075.10",-1851,"ENSMUSG00000034187","Nsf","N-ethylmaleimide sensitive fusion protein"
"chr11",104520759,104521133,375,"*",375,104520790,7,7.28305,5.37475,3.57547,"RARG_Treated_vs_Input_peak_93","3' UTR",11,104508347,104513276,4930,2,"217232","ENSMUST00000127506.1",-7483,"ENSMUSG00000020687","Cdc27","cell division cycle 27"
